Category	Order	Family	Name
Cow and frilled Sharks	Hexanchiformes	Chalmydoselachida Frilled sharks	Southern African frilled shark
			Frilled shark
		Hexanchidae Cow sharks	Sharp-nose sevengill shark
			Blunt-nose sixgill shark
			Bigeyed sixgill shark
			Atlantic sixgill shark
			Broad-nose sevengill shark
Dog and Angelfish sharks	Squaliformes	Centrophoridae Gulper sharks	Dwarf gulper shark
			Gulper shark
			Dumb gulper shark
			Small-fin gulper shark
			Seychelles gulper shark
			Leaf-scale gulper shark
			Mosaic gulper shark
			Little gulper shark
			Western gulper shark
			Southern dogfish
			Mini gulper shark
			Slender gulper shark
			Bird-beak dogfish
			Rough longnose dogfish
			Arrow-head dogfish
			Long-snout dogfish
		Dalatiidae Kitefin sharks	Kitefin shark
			Tail-light shark
			Pygmy shark
			Long-nose pygmy shark
			Cookie-cutter shark
			Large-tooth cookiecutter shark
			Pocket shark
			Small-eye pygmy shark
			Spined pygmy shark
		Echinorhinidae Bramble sharks	Bramble shark
			Prickly shark
		Etmopteridae Lantern sharks	Hook-tooth dogfish
			High-fin dogfish
			Black dogfish
			Granular dogfish
			Bare-skin dogfish
			Comb-tooth dogfish
			Ornate dogfish
			White-fin dogfish
			New Zealand lanternshark
			Ninja lanternshark
			Blurred lanternshark
			Short-tail lanternshark
			Lined lanternshark
			Broad-snout lanternshark
			Cylindrical lanternshark
			Tail-spot lanternshark
			Brown lanternshark
			Comb-tooth lanternshark
			Pink lanternshark
			Lined lanternshark
			Black-mouth lanternshark
			Pygmy lanternshark
			Broad-banded lanternshark
			Southern lanternshark
			Caribbean lanternshark
			Short-fin smooth lanternshark
			Small-eye lanternshark
			Black-belly lanternshark
			Moller's lanternshark
			Dwarf lanternshark
			African lanternshark
			Great lanternshark
			False lanternshark
			Smooth lanternshark
			Dense-scale lanternshark
			West Indian lanternshark
			Fringe-fin lanternshark
			Sculpted lanternshark
			Thorny lanternshark
			Rasp-tooth dogfish
			Velvet-belly lanternshark
			Splendid lanternshark
			Bristled lanternshark
			Traveller lanternshark
			Hawaiian lanternshark
			Green lanternshark
			Guadalupe lanternshark
			Chilean lanternshark
			Papua short-tail lanternshark
			Viper dogfish
		Oxynotidae Rough sharks	Prickly dogfish
			Caribbean roughshark
			Angular roughshark
			Japanese roughshark
			Sail-fin roughshark
		Somniosidae Sleeper sharks	Portuguese dogfish
			Rough-skin dogfish
			Long-nose velvet dogfish
			White-tail dogfish
			Azores dogfish
			Sparse-tooth dogfish
			Sherwood's dogfish
			Japanese velvet dogfish
			Large-spine velvet dogfish
			Plunket's shark
			Knife-tooth dogfish
			Southern sleeper shark
			Frog shark
			Greenland shark
			Pacific sleeper shark
			Little sleeper shark
			Longnose sleeper shark
			Velvet dogfish
		Squalidae Dogfish sharks	Rough-skin spurdog
			Southern mandarin dogfish
			Mandarin dogfish
			Spiny dogfish
			Blunt-nose spiny dogfish
			Eastern highfin spurdog
			Western highfin spurdog
			Long-nose spurdog
			Japanese shortnose spurdog
			Big-head spurdog
			Green-eye spurdog
			Genie's dogfish
			Fat-spine spurdog
			Cuban dogfish
			Edmund's spurdog
			Taiwan spurdog
			Eastern longnose spurdog
			Northern spiny dogfish
			Indonesian shortsnout spurdog
			Japanese spurdog
			Seychelles spurdog
			Short-nose spurdog
			Black-tailed spurdog
			Short-spine spurdog
			Indonesian greeneye spurdog
			Western longnose spurdog
			Bar-tail spurdog
			Cyrano spurdog
			Kermadec spiny dogfish
			Pacific spiny dogfish
			Lombok highfin spurdog
Sawsharks	Pristiophoriformes	Pristiophoridae Sawsharks	Six-gill sawshark
			Long-nose sawshark
			Tropical sawshark
			Japanese sawshark
			Lana's sawshark
			African dwarf sawshark
			Short-nose sawshark
			Bahamas sawshark
Angel sharks	Squatiniformes	Squatinidae Angel sharks	Saw-back angelshark
			African angelshark
			Eastern angelshark
